STATION_NO,STATION_NAME,LINE_NO,TRANSFER_YN,EXIT_COUNT,WEEK_START_TIME,WEEK_END_TIME,HOL_START_TIME,HOL_END_TIME,TOILET_IO,TOILET_FM,TOILET_COUNT
750,부평구청,7,N,,,,,,,,
751,산곡,7,N,,,,,,,,
752,석남,7,N,,,,,,,,
800,암사,8,N,,,,,,,,
801,천호,8,Y,,,,,,,,
802,강동구청,8,N,,,,,,,,
803,몽촌토성,8,N,,,,,,,,
804,잠실,8,Y,,,,,,,,
805,석촌,8,Y,,,,,,,,
806,송파,8,N,,,,,,,,
807,가락시장,8,Y,,,,,,,,
808,문정,8,N,,,,,,,,
809,장지,8,N,,,,,,,,
810,복정,8,N,,,,,,,,
811,남위례,8,N,,,,,,,,
812,산성,8,N,,,,,,,,
813,남한산성입구,8,N,,,,,,,,
814,단대오거리,8,N,,,,,,,,
815,신흥,8,N,,,,,,,,
816,수진,8,N,,,,,,,,
817,모란,8,N,,,,,,,,
900,개화,9,N,,,,,,,,
901,김포공항,9,Y,,,,,,,,
902,공항시장,9,N,,,,,,,,
903,신방화,9,N,,,,,,,,
904,마곡나루,9,N,,,,,,,,
905,양천향교,9,N,,,,,,,,
906,가양,9,N,,,,,,,,
907,증미,9,N,,,,,,,,
908,등촌,9,N,,,,,,,,
909,염창,9,N,,,,,,,,
910,신목동,9,N,,,,,,,,
911,선유도,9,N,,,,,,,,
912,당산,9,Y,,,,,,,,
913,국회의사당,9,N,,,,,,,,
914,여의도,9,Y,,,,,,,,
915,샛강,9,N,,,,,,,,
916,노량진,9,Y,,,,,,,,
917,노들,9,N,,,,,,,,
918,흑석,9,N,,,,,,,,
919,동작,9,Y,,,,,,,,
920,구반포,9,N,,,,,,,,
921,신반포,9,N,,,,,,,,
922,고속터미널,9,Y,,,,,,,,
923,사평,9,N,,,,,,,,
924,신논현,9,N,,,,,,,,
925,언주,9,N,,,,,,,,
926,선정릉,9,N,,,,,,,,
927,삼성중앙,9,N,,,,,,,,
928,봉은사,9,N,,,,,,,,
929,종합운동장,9,Y,,,,,,,,
930,삼전,9,N,,,,,,,,
931,석촌고분,9,N,,,,,,,,
932,석촌,9,Y,,,,,,,,
933,송파나루,9,N,,,,,,,,
934,한성백제,9,N,,,,,,,,
935,올림픽공원,9,Y,,,,,,,,
936,둔촌오륜,9,N,,,,,,,,
937,중앙보훈병원,9,N,,,,,,,,
2000,용답,2,N,,,,,,,,
2001,신답,2,N,,,,,,,,
2002,용두,2,N,,,,,,,,
2003,신설동,2,Y,,,,,,,,
2004,도림천,2,N,,,,,,,,
2005,양천구청,2,N,,,,,,,,
2006,신정네거리,2,N,,,,,,,,
2007,까치산,2,Y,,,,,,,,
1000,가산디지털단지,1,Y,,,,,,,,
1001,독산,1,N,,,,,,,,
1002,금천구청,1,N,,,,,,,,
1003,광명,1,N,,,,,,,,
1004,석수,1,N,,,,,,,,
1005,관악,1,N,,,,,,,,
1006,안양,1,N,,,,,,,,
1007,명학,1,N,,,,,,,,
1008,금정,1,Y,,,,,,,,
1009,군포,1,N,,,,,,,,
1010,당정,1,N,,,,,,,,
1011,의왕,1,N,,,,,,,,
1012,성균관대,1,N,,,,,,,,
1013,화서,1,N,,,,,,,,
1014,수원,1,N,,,,,,,,
1015,세류,1,N,,,,,,,,
1016,병점,1,N,,,,,,,,
1017,서동탄,1,N,,,,,,,,
1018,세마,1,N,,,,,,,,
1019,오산대,1,N,,,,,,,,
1020,오산,1,N,,,,,,,,
1021,진위,1,N,,,,,,,,
1022,송탄,1,N,,,,,,,,
1023,서정리,1,N,,,,,,,,
1024,평택지제,1,N,,,,,,,,
1025,평택,1,N,,,,,,,,
1026,성환,1,N,,,,,,,,
1027,직산,1,N,,,,,,,,
1028,두정,1,N,,,,,,,,
1029,천안,1,N,,,,,,,,
1030,봉명,1,N,,,,,,,,
1031,쌍용,1,N,,,,,,,,
1032,아산,1,N,,,,,,,,
1033,탕정,1,N,,,,,,,,
1034,배방,1,N,,,,,,,,
1035,온양온천,1,N,,,,,,,,
1036,신창,1,N,,,,,,,,
5000,둔촌동,5,N,,,,,,,,
5001,올림픽공원,5,Y,,,,,,,,
5002,방이,5,N,,,,,,,,
5003,오금,5,Y,,,,,,,,
5004,개롱,5,N,,,,,,,,
5005,거여,5,N,,,,,,,,
5006,마천,5,N,,,,,,,,
